,predictions,name,GW,team,value,position,opponent_team
39,0.8,David Button,4,West Brom,40,GK,16
40,0.77,Roberto Jimenez Gago,4,West Ham,45,GK,9
41,0.77,Christian Walton,4,Brighton,40,GK,7
42,0.77,Darren Randolph,4,West Ham,45,GK,9
43,0.76,Jason Steele,4,Brighton,40,GK,7
44,0.7,Marek Rodák,4,Fulham,45,GK,20
45,,Bailey Peacock-Farrell,4,Burnley,40,GK,14
46,,Caoimhin Kelleher,4,Liverpool,45,GK,2
47,,Claudio Bravo,4,Man City,45,GK,10
48,,David de Gea,4,Man Utd,55,GK,17
49,,Dean Henderson,4,Man Utd,54,GK,17
50,,Ederson Santana de Moraes,4,Man City,60,GK,10
51,,Edouard Mendy,4,Chelsea,50,GK,6
52,,Elia Caprile,4,Leeds,40,GK,12
53,,Jed Steer,4,Aston Villa,40,GK,11
54,,Nick Pope,4,Burnley,55,GK,14
55,,Rúnar Alex Rúnarsson,4,Arsenal,45,GK,15
56,,Sergio Romero,4,Man Utd,50,GK,17
57,,Tom Heaton,4,Aston Villa,45,GK,11
58,,Zack Steffen,4,Man City,45,GK,10
59,,Ørjan Nyland,4,Aston Villa,40,GK,11
60,5.41,Matt Doherty,4,Spurs,59,DEF,13
61,5.14,Çaglar Söyüncü,4,Leicester,55,DEF,19
62,5.04,Ryan Bertrand,4,Southampton,50,DEF,18
63,4.98,Andrew Robertson,4,Liverpool,70,DEF,2
64,4.83,Trent Alexander-Arnold,4,Liverpool,75,DEF,2
65,4.83,Kyle Walker-Peters,4,Southampton,45,DEF,18
66,4.76,Reece James,4,Chelsea,51,DEF,6
67,4.74,Ben Davies,4,Spurs,49,DEF,13
68,4.67,James Justin,4,Leicester,47,DEF,19
69,4.6,Jannik Vestergaard,4,Southampton,45,DEF,18
70,4.5,Jan Bednarek,4,Southampton,45,DEF,18
71,4.49,Michael Keane,4,Everton,50,DEF,3
72,4.35,Yerry Mina,4,Everton,55,DEF,3
73,4.26,Héctor Bellerín,4,Arsenal,50,DEF,15
74,4.15,Robin Koch,4,Leeds,45,DEF,12
75,4.09,Seamus Coleman,4,Everton,50,DEF,3
76,4.06,Federico Fernández,4,Newcastle,50,DEF,4
77,3.99,Javier Manquillo,4,Newcastle,45,DEF,4
78,3.94,Jamaal Lascelles,4,Newcastle,45,DEF,4
79,3.83,Rob Holding,4,Arsenal,45,DEF,15
80,3.79,Kieran Tierney,4,Arsenal,54,DEF,15
81,3.78,Lucas Digne,4,Everton,61,DEF,3
82,3.78,Willy Boly,4,Wolves,55,DEF,8
83,3.75,Virgil van Dijk,4,Liverpool,65,DEF,2
84,3.75,Davinson Sánchez,4,Spurs,54,DEF,13
85,3.72,Stuart Dallas,4,Leeds,45,DEF,12
86,3.62,Luke Ayling,4,Leeds,45,DEF,12
87,3.54,Conor Coady,4,Wolves,50,DEF,8
88,3.48,Rúben Gonçalo Silva Nascimento Vinagre,4,Wolves,44,DEF,8
89,3.43,Daniel Amartey,4,Leicester,40,DEF,19
90,3.38,Jonny Evans,4,Leicester,55,DEF,19
91,3.34,Eric Dier,4,Spurs,50,DEF,13
92,3.34,Romain Saïss,4,Wolves,51,DEF,8
93,3.2,Ainsley Maitland-Niles,4,Arsenal,50,DEF,15
94,3.16,Andreas Christensen,4,Chelsea,49,DEF,6
95,3.15,Jamal Lewis,4,Newcastle,45,DEF,4
96,3.08,Timothy Castagne,4,Leicester,57,DEF,19
97,2.89,Jack Stephens,4,Southampton,49,DEF,18
98,2.74,Liam Cooper,4,Leeds,44,DEF,12
99,2.7,David Luiz Moreira Marinho,4,Arsenal,55,DEF,15
100,2.67,Marcos Alonso,4,Chelsea,59,DEF,6
101,2.52,Enda Stevens,4,Sheffield Utd,54,DEF,1
102,2.5,George Baldock,4,Sheffield Utd,54,DEF,1
103,2.23,Denis Odoi,4,Fulham,45,DEF,20
104,2.22,Joe Bryan,4,Fulham,49,DEF,20
105,2.17,Joel Ward,4,Crystal Palace,45,DEF,5
106,2.12,Tyrick Mitchell,4,Crystal Palace,41,DEF,5
107,2.11,Gabriel Magalhães,4,Arsenal,51,DEF,15
108,2.05,Kyle Bartley,4,West Brom,45,DEF,16
109,2.0,Chris Basham,4,Sheffield Utd,49,DEF,1
110,2.0,César Azpilicueta,4,Chelsea,59,DEF,6
111,1.99,Sead Kolasinac,4,Arsenal,49,DEF,15
112,1.97,Joseph Gomez,4,Liverpool,54,DEF,2
113,1.94,Jarrad Branthwaite,4,Everton,40,DEF,3
114,1.9,Thiago Thiago,4,Chelsea,55,DEF,6
115,1.88,Fikayo Tomori,4,Chelsea,49,DEF,6
116,1.87,Jake Vokins,4,Southampton,40,DEF,18
117,1.87,Tariq Lamptey,4,Brighton,46,DEF,7
118,1.86,Luke Thomas,4,Leicester,43,DEF,19
119,1.85,Ricardo Domingos Barbosa Pereira,4,Leicester,59,DEF,19
120,1.85,Mason Holgate,4,Everton,49,DEF,3
121,1.85,Filip Benkovic,4,Leicester,44,DEF,19
122,1.85,Jonjoe Kenny,4,Everton,44,DEF,3
123,1.85,Christian Fuchs,4,Leicester,45,DEF,19
124,1.85,Mohammed Salisu,4,Southampton,44,DEF,18
125,1.85,Yan Valery,4,Southampton,49,DEF,18
126,1.84,Wes Morgan,4,Leicester,44,DEF,19
127,1.83,Darnell Furlong,4,West Brom,45,DEF,16
128,1.8,Mamadou Sakho,4,Crystal Palace,45,DEF,5
129,1.74,Kurt Zouma,4,Chelsea,50,DEF,6
130,1.74,Michael Hector,4,Fulham,44,DEF,20
131,1.74,Fernando Marçal,4,Wolves,49,DEF,8
132,1.72,Oluwasemilogo Adesewo Ibidapo Ajayi,4,West Brom,49,DEF,16
133,1.71,William Saliba,4,Arsenal,43,DEF,15
134,1.67,Angelo Ogbonna,4,West Ham,49,DEF,9
135,1.65,Max Kilman,4,Wolves,40,DEF,8
136,1.65,Aaron Cresswell,4,West Ham,49,DEF,9
137,1.64,Oskar Buur,4,Wolves,40,DEF,8
138,1.64,Cédric Soares,4,Arsenal,48,DEF,15
139,1.63,Pablo Marí,4,Arsenal,45,DEF,15
140,1.63,Kelland Watts,4,Newcastle,40,DEF,4
141,1.63,Paul Dummett,4,Newcastle,44,DEF,4
142,1.63,Jonathan Castro Otto,4,Wolves,54,DEF,8
143,1.63,Ryan Bennett,4,Wolves,44,DEF,8
144,1.63,Ciaran Clark,4,Newcastle,45,DEF,4
145,1.63,Sokratis Papastathopoulos,4,Arsenal,49,DEF,15
146,1.63,Florian Lejeune,4,Newcastle,44,DEF,4
147,1.63,Fabian Schär,4,Newcastle,49,DEF,4
148,1.63,Emil Krafth,4,Newcastle,44,DEF,4
149,1.63,DeAndre Yedlin,4,Newcastle,44,DEF,4
150,1.63,Calum Chambers,4,Arsenal,45,DEF,15
151,1.63,Shkodran Mustafi,4,Arsenal,50,DEF,15
152,1.6,Arthur Masuaku,4,West Ham,45,DEF,9
153,1.53,Dara O'Shea,4,West Brom,44,DEF,16
154,1.52,Ezgjan Alioski,4,Leeds,44,DEF,12
155,1.52,Adam Webster,4,Brighton,45,DEF,7
156,1.51,Lewis Dunk,4,Brighton,50,DEF,7
157,1.5,Serge Aurier,4,Spurs,52,DEF,13
158,1.48,Barry Douglas,4,Leeds,40,DEF,12
159,1.47,Ryan Fredericks,4,West Ham,45,DEF,9
160,1.45,Antonio Rüdiger,4,Chelsea,47,DEF,6
161,1.43,Ethan Ampadu,4,Sheffield Utd,45,DEF,1
162,1.42,Kenny Tete,4,Fulham,45,DEF,20
163,1.42,Toby Alderweireld,4,Spurs,54,DEF,13
164,1.41,Jack Robinson,4,Sheffield Utd,44,DEF,1
165,1.41,Ben White,4,Brighton,45,DEF,7
166,1.41,Tim Ream,4,Fulham,44,DEF,20
167,1.41,Benjamin Chilwell,4,Chelsea,55,DEF,6
168,1.4,Danny Rose,4,Spurs,49,DEF,13
169,1.39,Ryan Sessegnon,4,Spurs,49,DEF,13
170,1.39,Emerson Palmieri dos Santos,4,Chelsea,49,DEF,6
171,1.39,Japhet Tanganga,4,Spurs,49,DEF,13
172,1.39,Cameron Carter-Vickers,4,Spurs,40,DEF,13
173,1.39,Juan Foyth,4,Spurs,44,DEF,13
174,1.35,John Egan,4,Sheffield Utd,49,DEF,1
175,1.26,Jack O'Connell,4,Sheffield Utd,49,DEF,1
176,1.21,Leif Davis,4,Leeds,40,DEF,12
177,1.21,Oliver Casey,4,Leeds,40,DEF,12
178,1.18,Pascal Struijk,4,Leeds,40,DEF,12
179,1.17,Fabián Balbuena,4,West Ham,44,DEF,9
180,1.14,Maxime Le Marchand,4,Fulham,44,DEF,20
181,1.13,Neco Williams,4,Liverpool,40,DEF,2
182,1.1,Martin Kelly,4,Crystal Palace,44,DEF,5
183,1.1,Nathan Ferguson,4,Crystal Palace,40,DEF,5
184,1.09,Sam Woods,4,Crystal Palace,40,DEF,5
185,1.09,Konstantinos Tsimikas,4,Liverpool,49,DEF,2
186,1.09,Patrick van Aanholt,4,Crystal Palace,54,DEF,5
187,1.09,James Tomkins,4,Crystal Palace,45,DEF,5
188,1.09,Gary Cahill,4,Crystal Palace,45,DEF,5
189,1.09,Joel Matip,4,Liverpool,54,DEF,2
190,1.07,Conor Townsend,4,West Brom,45,DEF,16
191,1.05,Issa Diop,4,West Ham,45,DEF,9
192,1.05,Scott Dann,4,Crystal Palace,45,DEF,5
193,1.03,Zeze Steven Sessegnon,4,Fulham,44,DEF,20
194,1.02,Alfie Mawson,4,Fulham,44,DEF,20
195,1.02,Max Lowe,4,Sheffield Utd,45,DEF,1
196,1.02,Phil Jagielka,4,Sheffield Utd,40,DEF,1
197,1.02,Cyrus Christie,4,Fulham,44,DEF,20
198,1.02,Jayden Bogle,4,Sheffield Utd,45,DEF,1
199,1.02,Antonee Robinson,4,Fulham,44,DEF,20
200,0.99,Ben Johnson,4,West Ham,40,DEF,9
201,0.94,Bernardo Fernandes da Silva Junior,4,Brighton,40,DEF,7
202,0.87,Dan Burn,4,Brighton,44,DEF,7
203,0.87,Ahmed El-Sayed Hegazy,4,West Brom,44,DEF,16
204,0.87,Kieran Gibbs,4,West Brom,44,DEF,16
205,0.86,Cedric Kipre,4,West Brom,45,DEF,16
206,0.86,Matthew Clarke,4,Brighton,45,DEF,7
207,0.86,Joël Veltman,4,Brighton,44,DEF,7
208,0.86,Martín Montoya,4,Brighton,45,DEF,7
209,0.86,Shane Duffy,4,Brighton,44,DEF,7
210,,Aaron Wan-Bissaka,4,Man Utd,54,DEF,17
211,,Ahmed El Mohamady,4,Aston Villa,45,DEF,11
212,,Anthony Driscoll-Glennon,4,Burnley,40,DEF,14
213,,Axel Tuanzebe,4,Man Utd,45,DEF,17
214,,Aymeric Laporte,4,Man City,60,DEF,10
215,,Benjamin Mendy,4,Man City,60,DEF,10
216,,Ben Gibson,4,Burnley,40,DEF,14
217,,Ben Mee,4,Burnley,50,DEF,14
218,,Bjorn Engels,4,Aston Villa,44,DEF,11
219,,Bobby Thomas,4,Burnley,40,DEF,14
220,,Brandon Williams,4,Man Utd,44,DEF,17
221,,Branislav Ivanovic,4,West Brom,45,DEF,16
222,,Charlie Taylor,4,Burnley,45,DEF,14
223,,Chris Smalling,4,Man Utd,49,DEF,17
224,,Diego Llorente,4,Leeds,45,DEF,12
225,,Eric Bailly,4,Man Utd,50,DEF,17
226,,Eric Garcia,4,Man City,49,DEF,10
227,,Erik Pieters,4,Burnley,45,DEF,14
228,,Ezri Konsa Ngoyo,4,Aston Villa,45,DEF,11
229,,Fernando Luiz Rosa,4,Man City,55,DEF,10
230,,Frédéric Guilbert,4,Aston Villa,45,DEF,11
231,,Harry Maguire,4,Man Utd,55,DEF,17
232,,James Bree,4,Aston Villa,45,DEF,11
233,,James Tarkowski,4,Burnley,54,DEF,14
234,,Jimmy Dunne,4,Burnley,40,DEF,14
235,,John Stones,4,Man City,50,DEF,10
236,,José Diogo Dalot Teixeira,4,Man Utd,49,DEF,17
237,,João Pedro Cavaco Cancelo,4,Man City,54,DEF,10
238,,Kevin Long,4,Burnley,45,DEF,14
239,,Ki-Jana Hoever,4,Wolves,45,DEF,8
240,,Kortney Hause,4,Aston Villa,45,DEF,11
241,,Kyle Walker,4,Man City,60,DEF,10
242,,Luke Shaw,4,Man Utd,50,DEF,17
243,,Marcos Rojo,4,Man Utd,49,DEF,17
244,,Matthew Cash,4,Aston Villa,50,DEF,11
245,,Matthew Lowton,4,Burnley,45,DEF,14
246,,Matt Targett,4,Aston Villa,45,DEF,11
247,,Nathan Aké,4,Man City,55,DEF,10
248,,Neil Taylor,4,Aston Villa,45,DEF,11
249,,Nicolás Otamendi,4,Man City,49,DEF,10
250,,Niels Nkounkou,4,Everton,40,DEF,3
251,,Nélson Cabral Semedo,4,Wolves,55,DEF,8
252,,Ola Aina,4,Fulham,45,DEF,20
253,,Oleksandr Zinchenko,4,Man City,55,DEF,10
254,,Phil Bardsley,4,Burnley,45,DEF,14
255,,Phil Jones,4,Man Utd,49,DEF,17
256,,Ryan Inniss,4,Crystal Palace,40,DEF,5
257,,Rúben Santos Gato Alves Dias,4,Man City,55,DEF,10
258,,Sergio Reguilón,4,Spurs,55,DEF,13
259,,Teden Mengi,4,Man Utd,40,DEF,17
260,,Timothy Fosu-Mensah,4,Man Utd,45,DEF,17
261,,Tyrone Mings,4,Aston Villa,50,DEF,11
262,,Victor Lindelöf,4,Man Utd,49,DEF,17
263,,Vladimir Coufal,4,West Ham,45,DEF,9
264,,Wesley Fofana,4,Leicester,50,DEF,19
265,8.95,Heung-Min Son,4,Spurs,90,MID,13
266,8.57,Mohamed Salah,4,Liverpool,122,MID,2
267,7.19,Harvey Barnes,4,Leicester,71,MID,19
268,6.72,James Rodríguez,4,Everton,77,MID,3
269,6.72,Pierre-Emerick Aubameyang,4,Arsenal,119,MID,15
270,6.44,Wilfried Zaha,4,Crystal Palace,72,MID,5
271,6.14,Sadio Mané,4,Liverpool,119,MID,2
272,5.2,Mason Mount,4,Chelsea,69,MID,6
273,5.12,Dennis Praet,4,Leicester,55,MID,19
274,4.61,James Ward-Prowse,4,Southampton,59,MID,18
275,4.56,Lucas Rodrigues Moura da Silva,4,Spurs,69,MID,13
276,4.56,Adama Traoré,4,Wolves,65,MID,8
277,4.54,Willian Borges Da Silva,4,Arsenal,80,MID,15
278,4.53,Abdoulaye Doucouré,4,Everton,55,MID,3
279,4.33,James Maddison,4,Leicester,70,MID,19
280,4.32,Stuart Armstrong,4,Southampton,55,MID,18
281,4.28,Miguel Almirón,4,Newcastle,59,MID,4
282,4.25,Moussa Djenepo,4,Southampton,55,MID,18
283,4.19,Jonjo Shelvey,4,Newcastle,55,MID,4
284,4.14,Youri Tielemans,4,Leicester,64,MID,19
285,4.14,Kai Havertz,4,Chelsea,84,MID,6
286,4.08,Hélder Wander Sousa de Azevedo e Costa,4,Leeds,57,MID,12
287,4.04,Giovani Lo Celso,4,Spurs,69,MID,13
288,4.02,Pedro Lomba Neto,4,Wolves,55,MID,8
289,3.96,Rúben Diogo da Silva Neves,4,Wolves,54,MID,8
290,3.91,Mateusz Klich,4,Leeds,56,MID,12
291,3.79,Oriol Romeu Vidal,4,Southampton,45,MID,18
292,3.79,Jack Harrison,4,Leeds,55,MID,12
293,3.72,Andros Townsend,4,Crystal Palace,61,MID,5
294,3.7,Allan Saint-Maximin,4,Newcastle,54,MID,4
295,3.7,Nampalys Mendy,4,Leicester,45,MID,19
296,3.69,Jeff Hendrick,4,Newcastle,51,MID,4
297,3.67,João Filipe Iria Santos Moutinho,4,Wolves,55,MID,8
298,3.63,Allan Marques Loureiro,4,Everton,55,MID,3
299,3.62,Ayoze Pérez,4,Leicester,63,MID,19
300,3.58,Callum Hudson-Odoi,4,Chelsea,58,MID,6
301,3.58,André Filipe Tavares Gomes,4,Everton,55,MID,3
302,3.54,Matt Ritchie,4,Newcastle,50,MID,4
303,3.5,Bukayo Saka,4,Arsenal,53,MID,15
304,3.48,Tomas Soucek,4,West Ham,50,MID,9
305,3.46,John Lundstram,4,Sheffield Utd,54,MID,1
306,3.27,Daniel Castelo Podence,4,Wolves,56,MID,8
307,3.27,Daniel Ceballos Fernández,4,Arsenal,50,MID,15
308,3.2,Steven Bergwijn,4,Spurs,72,MID,13
309,3.14,Isaac Hayden,4,Newcastle,50,MID,4
310,3.13,Gylfi Sigurdsson,4,Everton,69,MID,3
311,3.13,Matheus Pereira,4,West Brom,60,MID,16
312,3.12,Oliver Burke,4,Sheffield Utd,45,MID,1
313,3.1,Pierre-Emile Højbjerg,4,Spurs,49,MID,13
314,3.09,Ivan Ricardo Neves Abreu Cavaleiro,4,Fulham,55,MID,20
315,3.08,Solomon March,4,Brighton,50,MID,7
316,3.08,Cheikhou Kouyaté,4,Crystal Palace,50,MID,5
317,3.02,Leandro Trossard,4,Brighton,60,MID,7
318,3.02,Kalvin Phillips,4,Leeds,50,MID,12
319,2.99,André-Frank Zambo Anguissa,4,Fulham,45,MID,20
320,2.97,Nicolas Pépé,4,Arsenal,78,MID,15
321,2.93,Georginio Wijnaldum,4,Liverpool,54,MID,2
322,2.9,Jarrod Bowen,4,West Ham,63,MID,9
323,2.87,Eberechi Eze,4,Crystal Palace,59,MID,5
324,2.86,Nathan Redmond,4,Southampton,64,MID,18
325,2.86,Diogo Jota,4,Liverpool,63,MID,2
326,2.81,Jorge Luiz Frello Filho,4,Chelsea,51,MID,6
327,2.79,Granit Xhaka,4,Arsenal,55,MID,15
328,2.78,Nathan Tella,4,Southampton,45,MID,18
329,2.74,Pablo Fornals,4,West Ham,64,MID,9
330,2.73,Dale Stephens,4,Burnley,44,MID,14
331,2.71,Mohamed Naser El Sayed Elneny,4,Arsenal,45,MID,15
332,2.71,Ben Osborn,4,Sheffield Utd,49,MID,1
333,2.71,William Smallbone,4,Southampton,45,MID,18
334,2.68,Erik Lamela,4,Spurs,59,MID,13
335,2.66,N'Golo Kanté,4,Chelsea,50,MID,6
336,2.64,Alex Iwobi,4,Everton,59,MID,3
337,2.61,Ian Carlo Poveda-Ocampo,4,Leeds,44,MID,12
338,2.58,Sander Berge,4,Sheffield Utd,50,MID,1
339,2.57,Harry Winks,4,Spurs,55,MID,13
340,2.55,Christian Pulisic,4,Chelsea,83,MID,6
341,2.54,Naby Keita,4,Liverpool,54,MID,2
342,2.54,Adrien Silva,4,Leicester,45,MID,19
343,2.53,Anthony Gordon,4,Everton,44,MID,3
344,2.52,Matty James,4,Leicester,45,MID,19
345,2.52,Leander Dendoncker,4,Wolves,49,MID,8
346,2.48,Marc Albrighton,4,Leicester,54,MID,19
347,2.48,Theo Walcott,4,Everton,59,MID,3
348,2.47,Josh Sims,4,Southampton,45,MID,18
349,2.47,Bernard Anício Caldeira Duarte,4,Everton,59,MID,3
350,2.47,Demarai Gray,4,Leicester,54,MID,19
351,2.46,Tom Davies,4,Everton,54,MID,3
352,2.46,Wilfred Ndidi,4,Leicester,49,MID,19
353,2.45,Hamza Choudhury,4,Leicester,49,MID,19
354,2.45,Sofiane Boufal,4,Southampton,54,MID,18
355,2.45,Fabian Delph,4,Everton,49,MID,3
356,2.44,Jean-Philippe Gbamin,4,Everton,50,MID,3
357,2.41,Grady Diangana,4,West Brom,55,MID,16
358,2.36,Bamidele Alli,4,Spurs,76,MID,13
359,2.35,Vitor Ferreira,4,Wolves,50,MID,8
360,2.27,Jeffrey Schlupp,4,Crystal Palace,55,MID,5
361,2.27,Jacob Murphy,4,Newcastle,50,MID,4
362,2.24,Tyler Roberts,4,Leeds,50,MID,12
363,2.18,James McCarthy,4,Crystal Palace,45,MID,5
364,2.13,Declan Rice,4,West Ham,49,MID,9
365,2.1,Fabio Henrique Tavares,4,Liverpool,55,MID,2
366,2.09,Jake Livermore,4,West Brom,49,MID,16
367,2.08,Mesut Özil,4,Arsenal,68,MID,15
368,2.05,James McArthur,4,Crystal Palace,55,MID,5
369,2.05,Alireza Jahanbakhsh,4,Brighton,55,MID,7
370,2.04,Ryan Fraser,4,Newcastle,59,MID,4
371,2.02,Steven Alzate,4,Brighton,45,MID,7
372,2.0,Bruno André Cavaco Jordao,4,Wolves,44,MID,8
373,1.99,Tom Cairney,4,Fulham,54,MID,20
374,1.98,Tanguy Ndombele,4,Spurs,59,MID,13
375,1.97,Aboubakar Kamara,4,Fulham,50,MID,20
376,1.96,Lucas Torreira,4,Arsenal,48,MID,15
377,1.96,Matteo Guendouzi,4,Arsenal,48,MID,15
378,1.96,Emile Smith Rowe,4,Arsenal,45,MID,15
379,1.95,Romaine Sawyers,4,West Brom,50,MID,16
380,1.95,Joseph Willock,4,Arsenal,49,MID,15
381,1.94,Rolando Aarons,4,Newcastle,49,MID,4
382,1.94,Reiss Nelson,4,Arsenal,53,MID,15
383,1.94,Christian Atsu,4,Newcastle,54,MID,4
384,1.94,Matthew Longstaff,4,Newcastle,49,MID,4
385,1.94,Gabriel Teodoro Martinelli Silva,4,Arsenal,49,MID,15
386,1.93,Morgan Gibbs-White,4,Wolves,50,MID,8
387,1.9,Sean Longstaff,4,Newcastle,49,MID,4
388,1.89,Mateo Kovacic,4,Chelsea,55,MID,6
389,1.84,Ross Barkley,4,Aston Villa,59,MID,11
390,1.71,Hakim Ziyech,4,Chelsea,79,MID,6
391,1.67,Adam Lallana,4,Brighton,64,MID,7
392,1.66,Moussa Sissoko,4,Spurs,49,MID,13
393,1.64,Ruben Loftus-Cheek,4,Chelsea,59,MID,6
394,1.53,Neeskens Kebano,4,Fulham,49,MID,20
395,1.53,Billy Gilmour,4,Chelsea,45,MID,6
396,1.53,Gedson Carvalho Fernandes,4,Spurs,49,MID,13
397,1.52,Oliver Skipp,4,Spurs,45,MID,13
398,1.42,Pablo Hernández Domínguez,4,Leeds,58,MID,12
399,1.41,Jordan Henderson,4,Liverpool,54,MID,2
400,1.41,Pascal Groß,4,Brighton,59,MID,7
401,1.37,Oliver Norwood,4,Sheffield Utd,49,MID,1
402,1.35,Yves Bissouma,4,Brighton,45,MID,7
403,1.35,Jordan Stevens,4,Leeds,45,MID,12
404,1.28,John Fleck,4,Sheffield Utd,58,MID,1
405,1.27,Curtis Jones,4,Liverpool,45,MID,2
406,1.26,Harrison Reed,4,Fulham,45,MID,20
407,1.26,Josh Onomah,4,Fulham,49,MID,20
408,1.26,Jay-Roy Grot,4,Leeds,49,MID,12
409,1.25,Adam Forshaw,4,Leeds,49,MID,12
410,1.24,Jamie Shackleton,4,Leeds,49,MID,12
411,1.24,Luka Milivojevic,4,Crystal Palace,58,MID,5
412,1.22,James Milner,4,Liverpool,54,MID,2
413,1.21,Matt Phillips,4,West Brom,53,MID,16
414,1.2,Mark Noble,4,West Ham,49,MID,9
415,1.14,Takumi Minamino,4,Liverpool,62,MID,2
416,1.13,Jairo Riedewald,4,Crystal Palace,44,MID,5
417,1.11,Brandon Pierrick,4,Crystal Palace,45,MID,5
418,1.11,Harry Wilson,4,Liverpool,53,MID,2
419,1.11,Harvey Elliott,4,Liverpool,44,MID,2
420,1.11,Alex Oxlade-Chamberlain,4,Liverpool,64,MID,2
421,1.11,Xherdan Shaqiri,4,Liverpool,64,MID,2
422,1.11,Max Meyer,4,Crystal Palace,49,MID,5
423,1.1,Kyle Edwards,4,West Brom,49,MID,16
424,1.1,Andriy Yarmolenko,4,West Ham,58,MID,9
425,1.09,Rekeem Harper,4,West Brom,45,MID,16
426,1.09,Mario Lemina,4,Fulham,45,MID,20
427,1.07,Jean Michaël Seri,4,Fulham,48,MID,20
428,1.07,Kevin McDonald,4,Fulham,48,MID,20
429,1.07,Anthony Knockaert,4,Fulham,53,MID,20
430,1.06,Sam Field,4,West Brom,49,MID,16
431,1.06,Luke Freeman,4,Sheffield Utd,50,MID,1
432,1.06,Stefan Johansen,4,Fulham,49,MID,20
433,1.04,Manuel Lanzini,4,West Ham,64,MID,9
434,1.04,Alexis Mac Allister,4,Brighton,54,MID,7
435,1.04,Davy Pröpper,4,Brighton,49,MID,7
436,1.04,Robert Snodgrass,4,West Ham,59,MID,9
437,1.04,Kamil Grosicki,4,West Brom,53,MID,16
438,1.04,José Izquierdo,4,Brighton,55,MID,7
439,1.04,Jack Wilshere,4,West Ham,49,MID,9
440,1.04,Jonathan Leko,4,West Brom,45,MID,16
441,1.04,Aaron Mooy,4,Brighton,50,MID,7
442,1.03,Felipe Anderson Pereira Gomes,4,West Ham,63,MID,9
443,,Ademola Lookman,4,Fulham,50,MID,20
444,,Adrián Bernabé,4,Man City,45,MID,10
445,,Andreas Pereira,4,Man Utd,49,MID,17
446,,Anwar El Ghazi,4,Aston Villa,59,MID,11
447,,Ashley Westwood,4,Burnley,55,MID,14
448,,Bernardo Mota Veiga de Carvalho e Silva,4,Man City,74,MID,10
449,,Bertrand Traoré,4,Aston Villa,60,MID,11
450,,Bruno Miguel Borges Fernandes,4,Man Utd,105,MID,17
451,,Cengiz Ünder,4,Leicester,60,MID,19
452,,Cole Palmer,4,Man City,45,MID,10
453,,Conor Gallagher,4,West Brom,55,MID,16
454,,Conor Hourihane,4,Aston Villa,60,MID,11
455,,Daniel James,4,Man Utd,64,MID,17
456,,Donny van de Beek,4,Man Utd,70,MID,17
457,,Douglas Luiz Soares de Paulo,4,Aston Villa,50,MID,11
458,,Dwight McNeil,4,Burnley,60,MID,14
459,,Ferran Torres,4,Man City,69,MID,10
460,,Filip Krovinovic,4,West Brom,50,MID,16
461,,Frederico Rodrigues de Paula Santos,4,Man Utd,54,MID,17
